pmid,title,sulfate,sodium,potassium,chloride,carbonate,magnesium,calcium,copper,iron,zinc,cadmium,arsenic,lithium,boron,manganese,phosphate,ammonium,nitrite,nitrate,sulfide,methane,ethane,propane,butane,pentane,acetate,formate,pahs,argon,carbon_dioxyde,nitrogen,hydrogen,helium
25807542,The Unique Chemistry of Eastern Mediterranean Water Masses Selects for Distinct Microbial Communities by Depth,Sulfate (2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,Phosphate (6),-,Nitrite (2),Nitrate (3),-,Methane (5),-,-,-,-,-,-,-,-,-,Nitrogen (19),Hydrogen (2),-
25763031,Plant growth promoting capability and genetic diversity of bacteria isolated from mud volcano and lime cave of Andaman and Nicobar Islands,-,Sodium (4),Potassium (1),Chloride (1),Carbonate (1),-,-,-,Iron (4),-,-,-,-,-,-,Phosphate (4),-,Nitrite (1),Nitrate (3),-,Methane (1),-,-,-,-,-,-,-,-,-,Nitrogen (1),Hydrogen (1),-
19783748,"Molecular Characterization of Potential Nitrogen Fixation by Anaerobic Methane-Oxidizing Archaea in the Methane Seep Sediments at the Number 8 Kumano Knoll in the Kumano Basin, Offshore of Japan",Sulfate (6),Sodium (1),-,Chloride (1),-,Magnesium (1),Calcium (1),-,-,-,-,-,-,-,-,-,Ammonium (8),-,Nitrate (5),-,Methane (66),Ethane (1),-,-,-,-,-,-,-,Co2 (2),Nitrogen (27),-,-
24722631,Diverse sulfate-reducing bacteria of the Desulfosarcina/Desulfococcus clade are the key alkane degraders at marine seeps,Sulfate (5),Sodium (4),-,-,-,-,-,-,-,-,-,-,-,-,-,Phosphate (1),-,-,-,Sulfide (7),Methane (4),-,Propane (6),Butane (31),-,Acetate (2),Formate (1),Naphthalene (1),-,-,Nitrogen (2),-,-
22180538,Unsupervised discovery of microbial population structure within metagenomes using nucleotide base composition,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24116017,Methane-Carbon Flow into the Benthic Food Web at Cold Seeps – A Case Study from the Costa Rica Subduction Zone,Sulfate (4),-,-,-,Carbonate (1),-,-,-,-,-,-,-,-,-,-,-,-,-,Nitrate (1),Sulfide (7),Methane (7),-,-,-,-,-,-,-,-,-,-,-,-
25384013,Differences in Life-Histories Refute Ecological Equivalence of Cryptic Species and Provide Clues to the Origin of Bathyal Halomonhystera (Nematoda),-,Sodium (4),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hydrogen (2),-
24723919,Spatial variations of community structures and methane cycling across a transect of Lei-Gong-Hou mud volcanoes in eastern Taiwan,Sulfate (18),-,-,Chloride (8),-,-,-,-,Iron (3),-,-,-,-,-,Manganese (1),-,-,Nitrite (1),Nitrate (3),Sulfide (2),Methane (71),-,-,-,-,Acetate (1),-,-,-,-,-,-,-
17051217,Novel microbial communities of the Haakon Mosby mud volcano and their role as a methane sink,-,-,-,Chloride (3),-,Magnesium (1),-,-,-,Zinc (1),-,-,-,-,-,-,-,-,-,-,Methane (31),-,-,-,-,Acetate (1),-,-,-,-,-,-,-
28396389,Subduction zone forearc serpentinites as incubators for deep microbial life,-,Sodium (2),-,-,Carbonate (2),-,-,-,Iron (1),-,-,-,-,-,-,-,Ammonium (1),-,-,-,-,-,-,-,-,-,-,-,-,-,Nitrogen (5),-,-
